"","Subject_ID","Age","Gender","Session","Trial","Advisor","stm_Coh","stm_Dir","Decicion_1","Confidence_1","RT_1","Accuracy_1","Score_1","Score_2","Decision_2","Confidence_2","RT_2","Accuracy_2","avd_Decision","adv_Confidence","adv_Accuracy","Benefit","abs_conf_1","Calibration","mean_Susceptibility"
"34",1,20,1,1,34,2,0.123,0,1,0.8,5523,0,-28,-28,1,0.8,7363,0,0,-0.8,1,0,0.8,1.57098216697147,-0.246283712012957
"35",1,20,1,1,35,2,0.123,1,0,-0.8,1437,0,-28,-28,0,-0.8,3307,0,0,-0.7,0,0,0.8,1.57098216697147,-0.246283712012957
"36",1,20,1,1,36,2,0.123,0,1,0.7,905,0,2,2,1,0.7,2225,0,0,-1,1,0,0.7,1.57098216697147,-0.246283712012957
"37",1,20,1,1,37,2,0.123,1,1,0.6,1031,1,68,68,1,0.6,3246,1,0,-0.8,0,0,0.6,1.57098216697147,-0.246283712012957
"38",1,20,1,1,38,2,0.123,1,0,-0.6,751,0,28,28,0,-0.6,2231,0,1,0.6,1,0,0.6,1.57098216697147,-0.246283712012957
"39",1,20,1,1,39,2,0.123,0,0,-0.6,687,1,68,68,0,-0.6,3742,1,0,-0.6,1,0,0.6,1.57098216697147,-0.246283712012957
"40",1,20,1,1,40,2,0.123,1,1,0.7,1175,1,82,82,1,0.7,3070,1,1,0.7,1,0,0.7,1.57098216697147,-0.246283712012957
"41",1,20,1,1,41,2,0.123,0,0,-0.8,1423,1,92,92,0,-0.8,3383,1,1,0.8,0,0,0.8,1.57098216697147,-0.246283712012957
"42",1,20,1,1,42,2,0.123,1,1,0.7,1986,1,82,82,1,0.7,3976,1,1,0.7,1,0,0.7,1.57098216697147,-0.246283712012957
"43",1,20,1,1,43,2,0.123,0,1,0.7,993,0,2,2,1,0.7,2858,0,0,-1,1,0,0.7,1.57098216697147,-0.246283712012957
"44",1,20,1,1,44,2,0.123,0,1,0.7,1063,0,2,68,0,-0.6,3958,1,0,-0.7,1,66,0.7,1.57098216697147,-0.246283712012957
"45",1,20,1,1,45,2,0.123,1,0,-0.6,1837,0,28,28,0,-0.6,3727,0,1,0.8,1,0,0.6,1.57098216697147,-0.246283712012957
